REACTOME_NUCLEOSOME_ASSEMBLY,REACTOME_CELL_CYCLE,REACTOME_CHROMOSOME_MAINTENANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PTK6_REGULATES_CELL_CYCLE,REACTOME_CELL_CYCLE,REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,REACTOME_CELL_CYCLE_MITOTIC,REACTOME_MITOTIC_G1_G1_S_PHASES,REACTOME_S_PHASE,REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,REACTOME_CYCLIN_A:CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,REACTOME_GENE_EXPRESSION_TRANSCRIPTION,REACTOME_SIGNALING_BY_NON_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_MITOTIC,REACTOME_MITOTIC_G2_G2_M_PHASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS,REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_MITOTIC,REACTOME_MITOTIC_G2_G2_M_PHASES,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_AURKA_ACTIVATION_BY_TPX2,REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_MITOTIC,REACTOME_MITOTIC_G2_G2_M_PHASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING,REACTOME_SIGNALING_BY_ERBB4,REACTOME_SIGNALING_BY_ERBB2,REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING,REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_DISEASE,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,REACTOME_SIGNALING_BY_INTERLEUKINS,REACTOME_OTHER_INTERLEUKIN_SIGNALING,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING,REACTOME_SIGNALING_BY_ERBB4,REACTOME_SIGNALING_BY_ERBB2,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING,REACTOME_DISEASE,REACTOME_SIGNALING_BY_INTERLEUKINS,REACTOME_OTHER_INTERLEUKIN_SIGNALING,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4,REACTOME_SIGNALING_BY_ERBB4,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING,REACTOME_SIGNALING_BY_ERBB4,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SIGNALING_BY_ERBB4,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS,REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,REACTOME_O_LINKED_GLYCOSYLATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,REACTOME_O_LINKED_GLYCOSYLATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC,REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_DISEASE,REACTOME_DISEASES_OF_GLYCOSYLATION,REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS,REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS,REACTOME_O_LINKED_GLYCOSYLATION,REACTOME_DECTIN_2_FAMILY,REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS,REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,REACTOME_DISEASE,REACTOME_DISEASES_OF_GLYCOSYLATION,REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS,REACTOME_O_LINKED_GLYCOSYLATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SULFUR_AMINO_ACID_METABOLISM,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_METHIONINE_SALVAGE_PATHWAY,REACTOME_SULFUR_AMINO_ACID_METABOLISM,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SULFIDE_OXIDATION_TO_SULFATE,REACTOME_SULFUR_AMINO_ACID_METABOLISM,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE,REACTOME_SULFUR_AMINO_ACID_METABOLISM,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,REACTOME_INTERFERON_SIGNALING,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_OAS_ANTIVIRAL_RESPONSE,REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,REACTOME_INTERFERON_SIGNALING,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PROLACTIN_RECEPTOR_SIGNALING,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING,REACTOME_SIGNALING_BY_ERBB2,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING,REACTOME_DISEASE,REACTOME_SIGNALING_BY_INTERLEUKINS,REACTOME_OTHER_INTERLEUKIN_SIGNALING,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING,REACTOME_SIGNALING_BY_ERBB2,REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_DISEASE,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,REACTOME_SIGNALING_BY_INTERLEUKINS,REACTOME_OTHER_INTERLEUKIN_SIGNALING,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING,REACTOME_SIGNALING_BY_ERBB2,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING,REACTOME_SIGNALING_BY_ERBB2,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DOWNREGULATION_OF_ERBB2:ERBB3_SIGNALING,REACTOME_SIGNALING_BY_ERBB2,REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ERBB2_REGULATES_CELL_MOTILITY,REACTOME_SIGNALING_BY_ERBB2,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING,REACTOME_SIGNALING_BY_ERBB2,REACTOME_SIGNALING_BY_NON_RECEPTOR_TYROSINE_KINASES,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING,REACTOME_SIGNALING_BY_ERBB2,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SIGNALING_BY_ERBB2,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,REACTOME_SPHINGOLIPID_METABOLISM,REACTOME_METABOLISM_OF_LIPIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_BETA_DEFENSINS,REACTOME_DEFENSINS,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ANTIMICROBIAL_PEPTIDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DEFENSINS,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ANTIMICROBIAL_PEPTIDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ALPHA_DEFENSINS,REACTOME_DEFENSINS,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ANTIMICROBIAL_PEPTIDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING,REACTOME_SIGNALING_BY_EGFR_IN_CANCER,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_DISEASE,REACTOME_SIGNALING_BY_EGFR,REACTOME_SIGNALING_BY_INTERLEUKINS,REACTOME_OTHER_INTERLEUKIN_SIGNALING,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SIGNALING_BY_EGFR_IN_CANCER,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_DISEASE,REACTOME_SIGNALING_BY_EGFR,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA,REACTOME_SIGNALING_BY_EGFR_IN_CANCER,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_DISEASE,REACTOME_SIGNALING_BY_EGFR,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SIGNALING_BY_EGFRVIII_IN_CANCER,REACTOME_SIGNALING_BY_EGFR_IN_CANCER,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_DISEASE,REACTOME_SIGNALING_BY_EGFR,REACTOME_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_VARIANTS_IN_CANCER,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_VARIANTS_IN_CANCER,REACTOME_SIGNALING_BY_EGFR_IN_CANCER,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_DISEASE,REACTOME_SIGNALING_BY_EGFR,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,REACTOME_SPHINGOLIPID_METABOLISM,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION,REACTOME_METABOLISM_OF_LIPIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_GLYCOSPHINGOLIPID_METABOLISM,REACTOME_SPHINGOLIPID_METABOLISM,REACTOME_METABOLISM_OF_LIPIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_COLLAGEN_DEGRADATION,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ANCHORING_FIBRIL_FORMATION,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,REACTOME_COLLAGEN_FORMATION,REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,REACTOME_PROTEIN_LOCALIZATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,REACTOME_SIGNALING_BY_NOTCH1,REACTOME_SIGNALING_BY_NOTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SIGNALING_BY_NOTCH1_T_7_9_NOTCH1:M1580_K2555_TRANSLOCATION_MUTANT,REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,REACTOME_SIGNALING_BY_NOTCH1,REACTOME_SIGNALING_BY_NOTCH,REACTOME_DISEASE,REACTOME_SIGNALING_BY_NOTCH1_IN_CANCER,REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,REACTOME_SIGNALING_BY_NOTCH1,REACTOME_SIGNALING_BY_NOTCH,REACTOME_DISEASE,REACTOME_SIGNALING_BY_NOTCH1_IN_CANCER,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SIGNALING_BY_NOTCH4,REACTOME_SIGNALING_BY_NOTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_FBXW7_MUTANTS_AND_NOTCH1_IN_CANCER,REACTOME_SIGNALING_BY_NOTCH4,REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,REACTOME_SIGNALING_BY_NOTCH1,REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,REACTOME_SIGNALING_BY_NOTCH,REACTOME_DISEASE,REACTOME_SIGNALING_BY_NOTCH1_IN_CANCER,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,REACTOME_GENE_EXPRESSION_TRANSCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_NOTCH4_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,REACTOME_SIGNALING_BY_NOTCH4,REACTOME_SIGNALING_BY_NOTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_NOTCH4_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS,REACTOME_SIGNALING_BY_NOTCH4,REACTOME_SIGNALING_BY_NOTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING,REACTOME_SIGNALING_BY_NOTCH4,REACTOME_SIGNALING_BY_NOTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS,REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_SIGNALING_BY_INTERLEUKINS,REACTOME_OTHER_INTERLEUKIN_SIGNALING,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_CALCINEURIN_ACTIVATES_NFAT,REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_IKBA_VARIANT_LEADS_TO_EDA_ID,REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,REACTOME_TCR_SIGNALING,REACTOME_DOWNSTREAM_TCR_SIGNALING,REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS,REACTOME_DISEASE,REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE,REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,REACTOME_TOLL_LIKE_RECEPTOR_TLR1:TLR2_CASCADE,REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1,REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA,REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,REACTOME_SIGNALING_BY_INTERLEUKINS,REACTOME_DISEASES_OF_IMMUNE_SYSTEM,REACTOME_CLEC7A_DECTIN_1_SIGNALING,REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,REACTOME_DEATH_RECEPTOR_SIGNALLING,REACTOME_INTERLEUKIN_1_SIGNALING,REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION,REACTOME_TRIF_TICAM1_MEDIATED_TLR4_SIGNALING,REACTOME_MYD88_CASCADE_INITIATED_ON_PLASMA_MEMBRANE,,,,,,,,,,,,,
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION,REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,REACTOME_GENE_EXPRESSION_TRANSCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SIGNALING_BY_NOTCH2,REACTOME_SIGNALING_BY_NOTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_NOTCH2_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,REACTOME_SIGNALING_BY_NOTCH2,REACTOME_SIGNALING_BY_NOTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS,REACTOME_SIGNALING_BY_NOTCH2,REACTOME_SIGNALING_BY_NOTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI,REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,REACTOME_SIGNALING_BY_NOTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,REACTOME_SIGNALING_BY_NOTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PRE_NOTCH_PROCESSING_IN_THE_ENDOPLASMIC_RETICULUM,REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,REACTOME_SIGNALING_BY_NOTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DEFECTIVE_LFNG_CAUSES_SCDO3,REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI,REACTOME_SIGNALING_BY_NOTCH,REACTOME_DISEASE,REACTOME_DISEASES_OF_GLYCOSYLATION,REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,REACTOME_FCERI_MEDIATED_CAPLUS2_MOBILIZATION,REACTOME_CLEC7A_DECTIN_1_SIGNALING,REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_CD22_MEDIATED_BCR_REGULATION,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
